Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_8.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_8.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_8.in,99.6,162726197,8,20340774.6,3397.0,2665,162698691,57521284.6,cudaMalloc
sudoku_9x9_8.in,0.1,240252,23,10445.7,8641.0,4213,26893,5716.5,cudaMemcpy
sudoku_9x9_8.in,0.1,222726,8,27840.8,4062.5,3541,193056,66762.9,cudaLaunchKernel
sudoku_9x9_8.in,0.1,118330,8,14791.3,2672.5,1952,97299,33363.9,cudaFree
sudoku_9x9_8.in,0.0,51864,8,6483.0,5718.0,5604,11412,1999.0,cudaDeviceSynchronize
sudoku_9x9_8.in,0.0,51804,1,51804.0,51804.0,51804,51804,0.0,cuLibraryLoadData
sudoku_9x9_8.in,0.0,30918,9,3435.3,2674.0,2486,8527,1950.3,cudaMemset
sudoku_9x9_8.in,0.0,3789,1,3789.0,3789.0,3789,3789,0.0,cuModuleGetLoadingMode
sudoku_9x9_8.in,0.0,1399,8,174.9,110.0,106,465,131.8,cuKernelGetName
sudoku_9x9_8.in,0.0,326,1,326.0,326.0,326,326,0.0,cuLibraryGetKernel
