Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_5.in,43.8,35296,11,3208.7,2880.0,2656,6496,1097.8,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_5.in,3.5,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_5.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_5.in,0.003,25,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_5.in,0.000,13,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_5.in,99.3,164049829,19,8634201.5,2700.0,2083,163995543,37622466.0,cudaMalloc
sudoku_9x9_5.in,0.2,354939,37,9592.9,8647.0,3747,30314,5121.7,cudaMemcpy
sudoku_9x9_5.in,0.2,336710,24,14029.6,3768.0,3261,219579,43979.7,cudaLaunchKernel
sudoku_9x9_5.in,0.1,145998,19,7684.1,2259.0,1870,99244,22204.5,cudaFree
sudoku_9x9_5.in,0.1,139288,24,5803.7,5671.5,4771,10507,1297.1,cudaDeviceSynchronize
sudoku_9x9_5.in,0.0,68253,1,68253.0,68253.0,68253,68253,0.0,cuLibraryLoadData
sudoku_9x9_5.in,0.0,42989,13,3306.8,2741.0,2608,7590,1427.8,cudaMemset
sudoku_9x9_5.in,0.0,3734,1,3734.0,3734.0,3734,3734,0.0,cuModuleGetLoadingMode
sudoku_9x9_5.in,0.0,3387,24,141.1,100.5,89,913,168.0,cuKernelGetName
sudoku_9x9_5.in,0.0,952,3,317.3,341.0,221,390,87.0,cuLibraryGetKernel
sudoku_9x9_6.in,100.0,60323,1,60323.0,60323.0,60323,60323,0.0,PushPop,:build_reverse_tables
sudoku_9x9_6.in,50.9,21760,6,3626.7,3616.0,3008,4192,415.1,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_6.in,42.5,18176,5,3635.2,2944.0,2720,6432,1574.8,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_6.in,6.5,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_6.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_6.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_6.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_6.in,99.5,159163871,19,8377045.8,2780.0,2060,159109382,36501501.2,cudaMalloc
sudoku_9x9_6.in,0.2,282156,12,23513.0,4064.5,3335,211494,59438.2,cudaLaunchKernel
sudoku_9x9_6.in,0.2,244304,25,9772.2,8779.0,3763,28333,5849.1,cudaMemcpy
sudoku_9x9_6.in,0.1,140156,19,7376.6,2150.0,1659,96715,21658.1,cudaFree
sudoku_9x9_6.in,0.0,79865,1,79865.0,79865.0,79865,79865,0.0,cuLibraryLoadData
sudoku_9x9_6.in,0.0,74212,12,6184.3,5896.0,4811,9777,1514.0,cudaDeviceSynchronize
sudoku_9x9_6.in,0.0,25849,7,3692.7,2766.0,2459,7697,1932.0,cudaMemset
sudoku_9x9_6.in,0.0,3523,1,3523.0,3523.0,3523,3523,0.0,cuModuleGetLoadingMode
sudoku_9x9_6.in,0.0,1797,12,149.8,107.0,88,520,124.7,cuKernelGetName
sudoku_9x9_6.in,0.0,1033,3,344.3,409.0,205,419,120.8,cuLibraryGetKernel
sudoku_9x9_7.in,100.0,59871,1,59871.0,59871.0,59871,59871,0.0,PushPop,:build_reverse_tables
sudoku_9x9_7.in,51.3,28736,8,3592.0,3584.0,3040,4128,317.6,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_7.in,43.7,24512,7,3501.7,2976.0,2688,6528,1346.8,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_7.in,5.0,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_7.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_7.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_7.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_7.in,99.4,166848129,19,8781480.5,2811.0,2047,166794136,38264511.0,cudaMalloc
sudoku_9x9_7.in,0.2,291266,29,10043.7,8776.0,3693,29744,5902.9,cudaMemcpy
sudoku_9x9_7.in,0.2,289513,16,18094.6,3794.5,3124,205011,50077.5,cudaLaunchKernel
sudoku_9x9_7.in,0.1,144331,19,7596.4,2128.0,1690,99544,22299.1,cudaFree
sudoku_9x9_7.in,0.1,97089,16,6068.1,5838.5,4860,10868,1558.8,cudaDeviceSynchronize
sudoku_9x9_7.in,0.0,72048,1,72048.0,72048.0,72048,72048,0.0,cuLibraryLoadData
